player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Dru Prox,23093,LB,UTSA,3,26,0,331,0,,,33.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,3.8,3,0,0,0,0,0,0,0.0,,0,0,6.0,100.0,91.7,10.5,10.5,0,0,0.0,51.6,0,16,50.0,1,0,118.8,2,22,84.6,24,0,1,2,0,25,13,1.2,12.5
John Porchivina,28202,LB,OLE MISS,1,2,0,226,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,148,0,193,0,,,47.6,,,0,0,,65.3,0,,50.0,1,0,0.0,0,20,13.5,42,0,1,0,0,0,0,0.0,,0,0,7.7,50.0,81.9,19.2,9.6,0,0,0.0,79.0,2,18,0.0,0,0,22.1,5,104,70.3,127,4,7,10,0,43,12,0.4,8.6
Kyle Pugh,35900,LB,N ILLINOIS,12,139,0,254,1,-4.0,100.0,75.5,34.0,34.0,0,0,0.0,66.9,0,8,0.0,0,0,100.0,1,37,26.6,49,2,2,1,0,8,12,0.2,8.0,0,3,10.8,25.0,84.8,77.0,19.3,0,1,25.0,72.9,0,11,9.1,1,1,39.6,1,78,56.1,92,2,7,4,0,11,0,0.1,11.0
Jordan Carmouche,39951,LB,ARK STATE,12,326,0,113,0,23.5,0.0,93.0,,23.0,0,0,0.0,51.3,0,,0.0,0,0,39.6,0,53,16.3,57,1,1,2,0,0,0,0.0,,0,3,4.3,77.8,85.5,14.4,11.2,0,0,0.0,58.7,0,51,6.7,1,0,146.1,14,212,65.0,248,2,11,18,2,183,122,0.9,13.1
Monte McGary,42477,CB,KANSAS,7,22,0,198,1,9.0,100.0,100.0,7.0,7.0,0,0,0.0,58.5,0,12,0.0,0,0,116.7,1,7,31.8,7,0,1,1,0,12,3,1.7,12.0,0,0,,,100.0,,,0,0,,65.5,0,,,0,0,0.0,0,13,59.1,13,0,0,0,0,0,0,0.0,
Bricen Garner,42520,S,W MICHIGAN,12,390,0,347,1,5.0,25.0,98.1,47.0,11.8,0,1,25.0,74.6,0,3,0.0,0,1,39.6,1,53,13.6,54,0,3,4,0,3,4,0.1,3.0,0,3,8.7,67.7,96.0,9.8,6.6,0,1,3.2,58.4,2,37,10.3,3,1,67.0,21,217,55.6,226,9,23,31,0,263,84,1.3,12.5
Brandon Moore,42620,CB,NEBRASKA,6,83,0,238,0,5.0,100.0,100.0,13.0,13.0,0,0,0.0,68.1,0,11,0.0,0,0,100.0,2,27,32.5,27,0,2,2,0,16,6,0.6,8.0,0,1,10.2,50.0,97.6,12.3,6.2,0,0,0.0,74.7,1,13,33.3,1,0,22.9,3,40,48.2,41,0,1,6,0,27,13,0.7,9.0
Clifford Chattman,42657,S,UTSA,12,401,0,331,0,19.7,85.7,98.5,10.0,8.6,1,1,14.3,48.5,1,42,25.0,1,1,79.2,6,65,16.2,66,0,3,7,0,146,26,2.4,24.3,0,5,11.8,33.3,98.2,24.0,8.0,0,6,18.2,74.9,2,55,3.8,1,5,33.5,11,278,69.3,283,4,20,33,1,149,88,0.6,13.5
Anthony Watts,42807,DI,MARSHALL,12,10,0,214,0,17.0,100.0,3.1,2.0,2.0,0,0,0.0,50.2,0,49,,0,0,118.8,1,2,20.0,65,0,0,1,0,49,32,24.5,49.0,0,0,,,7.0,,,0,0,,54.0,0,,33.3,1,0,0.0,0,8,80.0,114,1,2,0,0,0,0,0.0,
Justin Clark,43185,CB,WISCONSIN,9,125,0,349,0,12.0,33.3,100.0,15.0,5.0,0,1,33.3,70.4,0,11,0.0,0,0,45.1,1,17,13.6,17,0,1,3,0,11,3,0.7,11.0,0,0,10.4,66.7,100.0,14.7,9.8,0,2,22.2,61.4,0,21,25.0,1,0,85.9,6,92,73.6,92,1,3,9,0,61,10,0.7,10.2
Ryan McWood,43189,LB,MIAMI OH,11,363,0,221,0,-1.5,100.0,75.0,36.5,36.5,0,0,0.0,70.4,0,13,16.7,1,0,145.8,2,78,21.5,104,2,5,2,1,19,22,0.3,9.5,0,6,3.0,85.7,89.7,12.2,10.5,1,5,23.8,62.3,1,23,18.2,4,4,84.3,18,226,62.3,252,4,12,21,0,189,140,0.9,10.5
Jaydon Grant,43354,S,OREGON ST,11,430,0,265,0,9.2,40.0,93.2,48.0,19.2,0,1,20.0,67.0,1,25,0.0,0,1,20.8,2,109,25.3,117,1,6,5,0,30,21,0.3,15.0,0,4,12.0,63.6,96.1,18.6,11.9,1,2,9.1,72.6,1,60,12.5,3,2,72.5,14,270,62.8,281,4,17,22,0,192,78,0.7,13.7
Linwood Crump,43401,CB,NEW MEX ST,11,249,0,242,0,10.3,62.5,100.0,6.0,3.8,0,0,0.0,40.7,0,19,0.0,0,0,122.9,5,33,13.3,33,0,1,8,2,56,4,1.9,11.2,0,2,15.1,41.2,96.8,25.6,10.5,0,4,23.5,78.8,0,19,0.0,0,1,50.1,7,184,73.9,190,4,13,17,0,56,13,0.3,8.0
Jon-Michael Terry,43635,LB,TULSA,12,289,0,320,0,3.8,60.0,56.7,25.3,15.2,0,0,0.0,66.6,0,6,20.0,1,0,64.6,3,80,27.7,141,3,4,5,0,11,12,0.1,3.7,0,2,6.7,77.8,84.4,16.9,13.1,0,0,0.0,49.0,0,26,28.6,2,0,139.4,7,124,42.9,147,1,3,9,1,77,44,0.7,11.0
Tyrone Hopper,43714,ED,MISSOURI,10,6,0,229,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,22,0,0,0,0,0,0,,,0,0,,,16.7,,,0,0,,62.1,0,,,0,0,0.0,0,6,100.0,36,0,0,0,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,12,386,0,314,0,1.5,100.0,74.0,9.0,9.0,0,0,0.0,47.0,0,46,50.0,1,0,158.3,4,37,9.6,50,1,1,4,1,94,88,2.6,23.5,0,5,4.8,78.0,87.8,8.5,6.7,0,2,4.9,64.0,2,74,7.4,2,2,101.0,32,281,72.8,320,6,20,41,2,378,265,1.4,11.8
Semisi Fakasiieiki,44340,LB,PURDUE,10,96,0,273,2,-2.4,60.0,86.4,6.0,3.6,0,0,0.0,56.2,0,11,50.0,2,0,104.2,3,19,19.8,22,0,0,5,1,13,25,0.7,4.3,0,1,1.2,40.0,96.9,31.0,12.4,0,0,0.0,67.6,0,3,0.0,0,0,47.9,2,63,65.6,65,3,4,5,0,4,10,0.1,2.0
Antwaine Richardson,49364,S,KENT STATE,7,225,0,201,1,8.5,50.0,100.0,8.0,4.0,0,1,25.0,56.3,0,12,50.0,1,1,57.3,2,17,7.6,17,0,0,4,0,13,6,0.8,6.5,0,2,12.6,76.5,100.0,11.6,8.9,0,0,0.0,54.8,0,71,16.7,3,0,136.6,13,155,68.9,155,2,13,17,1,209,74,1.4,16.1
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,47,0,174,0,1.7,100.0,70.8,5.7,5.7,0,0,0.0,29.1,0,10,50.0,1,0,100.0,3,17,36.2,24,1,1,3,0,24,19,1.4,8.0,0,0,15.0,50.0,84.0,20.0,10.0,0,0,0.0,55.0,0,21,0.0,0,0,127.1,1,21,44.7,25,1,1,2,1,21,0,1.1,21.0
Alden Tofa,51983,ED,BYU,12,17,0,128,0,,,6.7,,,0,0,,62.3,0,,,0,0,0.0,0,2,11.8,30,0,0,0,0,0,0,0.0,,0,1,4.5,50.0,16.1,9.0,4.5,0,0,0.0,62.8,0,9,0.0,0,0,62.5,1,9,52.9,56,2,1,2,0,9,3,1.0,9.0
Chaz Ah You,51989,S,BYU,2,9,0,128,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,2,2.0,100.0,85.7,6.0,6.0,0,0,0.0,66.2,0,8,0.0,0,0,100.0,1,6,66.7,7,0,0,1,0,8,6,1.3,8.0
Earl Tuioti-Mariner,51992,ED,BYU,10,1,0,128,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,30,0,0,0,0,0,0,,,0,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,81,0,0,0,0,0,0,0.0,
Penei Pavihi,52079,LB,HAWAII,13,364,0,180,1,1.7,83.3,77.7,11.0,9.2,1,1,8.3,60.9,1,35,25.0,2,1,111.8,10,122,33.5,157,5,5,12,1,167,142,1.5,16.7,0,9,2.5,80.6,99.0,7.5,6.0,0,0,0.0,54.2,0,31,12.9,4,0,94.8,25,193,53.0,195,9,18,31,0,209,185,1.1,8.4
Kaleb Hayes,52137,CB,BYU,11,240,0,128,0,15.1,40.0,100.0,12.3,4.9,2,2,20.0,59.0,0,25,,0,1,96.3,4,53,22.1,53,0,0,10,3,51,1,1.0,12.8,0,2,11.1,76.0,100.0,6.6,5.0,0,3,12.0,61.3,0,30,0.0,0,2,118.6,19,132,55.0,132,3,16,25,1,239,53,1.9,12.6
George Nyakwol,52203,S,RICE,9,182,0,275,1,8.0,50.0,93.8,84.0,42.0,0,1,50.0,63.2,1,5,33.3,2,1,16.7,1,91,50.0,97,1,3,2,0,5,9,0.1,5.0,0,0,10.0,60.0,93.9,18.3,11.0,0,0,0.0,65.3,0,20,0.0,0,0,87.1,3,62,34.1,66,0,8,5,0,42,4,0.8,14.0
Kenneth Orji,52209,ED,RICE,9,15,0,275,0,,,4.7,,,0,0,,62.2,0,,0.0,0,0,0.0,0,2,13.3,43,0,1,0,0,0,0,0.0,,0,0,5.0,0.0,25.7,,9.0,0,0,0.0,52.8,0,,,0,0,39.6,0,9,60.0,35,0,0,1,0,0,0,0.0,
Trey Schuman,52216,ED,RICE,12,4,0,275,0,,,5.0,,,0,0,,60.2,0,,100.0,1,0,0.0,0,3,75.0,60,1,0,0,0,0,0,0.0,,0,0,,,1.9,,,0,0,,63.2,0,,0.0,0,0,0.0,0,1,25.0,54,4,2,0,0,0,0,0.0,
Alii Matau,52219,LB,S JOSE ST,11,224,0,285,0,13.5,50.0,63.3,19.0,9.5,0,0,0.0,66.4,0,4,0.0,0,0,56.3,1,19,8.5,30,1,1,2,0,4,1,0.2,4.0,0,4,5.9,73.3,59.2,13.5,9.9,0,0,0.0,66.9,1,24,26.7,4,0,80.7,11,158,70.5,267,6,7,15,1,83,39,0.6,7.5
Rico Tolefree,52250,LB,S JOSE ST,9,59,0,285,0,8.0,0.0,100.0,,2.0,0,1,100.0,76.1,0,,,0,1,39.6,0,3,5.1,3,0,0,1,0,0,0,0.0,,0,1,10.8,100.0,79.6,7.0,7.0,0,0,0.0,56.0,0,27,0.0,0,0,118.8,6,43,72.9,54,1,2,6,0,83,18,2.0,13.8
Tre White,52261,S,S JOSE ST,8,46,0,285,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,10.5,100.0,97.1,16.5,16.5,0,1,50.0,73.0,0,22,0.0,0,1,152.1,2,34,73.9,35,1,3,2,1,22,1,0.7,11.0
Gabe Reid,52273,ED,UTAH,11,17,0,328,0,,,5.2,,,0,0,,62.2,0,,50.0,1,0,0.0,0,4,23.5,77,0,1,0,0,0,0,0.0,,0,1,7.0,100.0,8.3,10.0,10.0,0,0,0.0,74.4,0,14,16.7,1,0,118.8,1,10,58.8,121,6,4,1,0,14,7,1.4,14.0
Ryan Johnson,52282,ED,NWESTERN,6,2,0,256,0,,,7.7,,,0,0,,59.5,0,,,0,0,0.0,0,1,50.0,13,0,0,0,0,0,0,,,0,0,,,1.9,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,53,1,0,0,0,0,0,0.0,
Bentlee Sanders,52291,S,NEVADA,12,407,0,239,0,9.5,75.0,100.0,7.9,5.9,0,1,5.0,61.4,1,34,10.5,2,1,85.6,15,129,31.7,129,0,17,20,0,201,84,1.7,13.4,0,1,11.6,53.8,99.6,16.2,8.7,0,2,7.7,82.3,4,44,9.1,2,2,50.5,14,237,58.2,238,6,19,26,1,189,41,0.8,13.5
Mekhi LaPointe,52315,S,USF,10,252,0,327,0,7.6,83.3,96.1,7.3,6.1,0,0,0.0,53.5,0,60,11.1,1,0,158.3,10,74,29.4,77,3,8,12,3,169,104,2.3,16.9,0,4,7.7,90.9,98.3,10.9,9.9,0,1,9.1,62.4,1,22,26.7,4,1,101.9,10,116,46.0,118,3,7,11,1,113,63,1.0,11.3
Nick Roberts,52318,S,SMU,12,401,0,287,0,14.1,71.4,98.1,9.8,7.0,1,0,0.0,34.9,1,41,33.3,3,0,116.7,10,104,25.9,106,3,6,14,2,152,48,1.6,15.2,0,3,10.2,75.0,97.1,12.9,9.7,1,1,4.2,77.4,2,58,3.7,1,1,89.9,18,237,59.1,244,6,23,24,1,266,158,1.1,14.8
Bryce Dugan,52425,DI,OHIO,9,9,0,259,0,,,4.0,,,0,0,,49.0,0,,100.0,1,0,0.0,0,1,11.1,25,0,0,0,0,0,0,0.0,,0,0,,,4.6,,,0,0,,63.1,1,,25.0,1,0,0.0,0,7,77.8,152,5,3,0,0,0,0,0.0,
Xavier Peters,52819,ED,FAU,11,8,0,165,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,15,0,0,0,0,0,0,,,0,0,16.0,100.0,14.0,6.0,6.0,0,0,0.0,52.4,0,15,0.0,0,0,118.8,1,6,75.0,43,0,1,1,0,15,-1,2.5,15.0
Cole Pearce,52970,LB,BALL ST,11,388,0,117,0,2.1,42.9,79.0,40.3,17.3,0,1,14.3,64.0,0,10,20.0,1,1,51.5,3,128,33.0,162,2,4,7,0,23,19,0.2,7.7,0,4,8.8,81.8,90.8,22.9,18.7,1,0,0.0,66.4,1,27,7.7,1,0,63.3,9,216,55.7,238,5,8,11,0,91,52,0.4,10.1
Deshawn Pace,53549,LB,CINCINNATI,12,232,0,138,0,5.4,85.7,82.8,15.3,13.1,0,0,0.0,55.6,0,22,20.0,1,0,97.0,6,96,41.4,116,1,4,7,0,51,28,0.6,8.5,0,0,3.3,72.7,86.7,12.4,9.0,0,1,9.1,66.3,1,32,20.0,1,1,78.6,8,104,44.8,120,1,4,11,1,62,52,0.6,7.8
Ja'von Hicks,53569,S,CINCINNATI,12,429,0,138,3,8.6,47.6,100.0,17.1,8.1,0,3,14.3,73.1,2,33,16.7,3,2,38.1,10,183,42.7,183,3,12,21,1,101,23,0.6,10.1,0,2,16.7,42.9,100.0,61.3,26.3,0,1,14.3,74.4,0,16,20.0,2,1,93.5,3,189,44.1,189,4,6,7,1,27,4,0.1,9.0
Ivan Pace Jr.,53587,LB,CINCINNATI,12,254,0,138,1,6.5,100.0,54.0,23.0,23.0,1,1,25.0,80.0,0,19,0.0,0,1,141.7,4,94,37.0,174,9,6,4,1,34,8,0.4,8.5,0,2,1.9,85.7,58.9,17.3,14.9,0,1,14.3,59.3,0,17,25.0,4,1,103.0,6,106,41.7,180,7,10,7,0,61,53,0.6,10.2
Carrington Valentine,53750,CB,KENTUCKY,12,375,0,202,1,9.5,46.7,97.8,5.7,2.7,0,3,20.0,45.4,0,31,33.3,2,1,91.5,7,44,11.7,45,1,3,15,1,102,64,2.6,14.6,0,2,15.2,56.1,99.3,11.1,6.2,3,6,14.6,70.0,0,63,11.5,3,5,91.8,23,269,71.7,271,6,21,41,1,343,136,1.3,14.9
Jaheim Thomas,54193,LB,CINCINNATI,12,131,0,138,3,3.5,50.0,66.7,52.0,26.0,0,0,0.0,57.5,0,6,0.0,0,0,56.3,1,56,42.7,84,1,0,2,0,6,5,0.1,6.0,0,2,6.3,57.1,67.1,12.3,7.0,0,0,0.0,47.0,0,20,0.0,0,0,77.1,4,53,40.5,79,1,3,7,0,46,16,0.9,11.5
Isaiah Norman,54967,S,MARSHALL,7,177,0,214,0,5.0,100.0,96.8,29.5,29.5,0,0,0.0,57.0,0,16,0.0,0,0,110.4,2,61,34.5,63,0,3,2,0,21,11,0.4,10.5,0,0,15.4,60.0,100.0,26.7,16.0,0,0,0.0,53.0,0,37,0.0,0,0,143.8,3,82,46.3,82,0,5,5,1,66,29,0.8,22.0
Aapri Washington,55013,CB,E CAROLINA,9,144,0,156,0,5.5,100.0,100.0,7.5,7.5,0,0,0.0,60.4,0,24,0.0,0,0,118.8,2,17,11.8,17,0,3,2,0,30,19,2.0,15.0,0,2,13.6,66.7,98.7,12.0,8.0,0,0,0.0,65.2,0,15,0.0,0,0,116.0,6,77,53.5,78,1,7,9,1,46,7,0.6,7.7
Tim Terry,55020,LB,AKRON,10,185,0,102,0,0.0,100.0,61.2,13.5,13.5,0,0,0.0,66.9,0,9,20.0,1,0,85.4,2,30,16.2,49,1,4,2,0,9,9,0.3,4.5,0,0,2.5,72.7,89.4,14.0,10.2,0,1,9.1,72.7,0,40,0.0,0,1,133.1,8,118,63.8,132,5,6,11,1,106,85,0.9,13.3
Isaiah King,55037,CB,BUFFALO,9,251,0,126,0,14.6,42.3,100.0,7.5,3.2,0,3,11.5,44.1,0,33,16.7,1,2,94.7,11,87,34.7,87,2,5,26,4,111,43,1.4,10.1,0,0,12.3,58.3,99.3,18.6,10.8,0,1,8.3,64.9,0,23,33.3,3,1,111.1,7,135,53.8,136,0,6,12,1,94,45,0.7,13.4
Devonni Reed,55046,S,S CAROLINA,10,170,0,289,0,9.3,100.0,93.3,16.0,16.0,0,0,0.0,64.2,0,57,25.0,2,0,118.8,4,70,41.2,75,2,6,4,0,83,46,1.3,20.8,0,1,4.6,93.3,98.8,5.1,4.8,0,0,0.0,31.8,0,78,16.7,2,0,141.0,14,80,47.1,81,1,9,15,1,201,150,2.8,14.4
Troy Brown,55050,LB,OLE MISS,12,262,0,226,0,3.0,50.0,74.1,19.0,9.5,0,0,0.0,57.0,0,6,0.0,0,0,56.3,1,20,7.6,27,1,1,2,0,6,9,0.3,6.0,0,7,7.0,87.5,89.0,6.8,6.0,1,1,4.2,63.9,0,46,8.0,2,1,124.8,21,153,58.4,172,10,16,24,1,255,117,1.8,12.1
Wilson Huber,55090,LB,CINCINNATI,12,211,0,138,2,-1.0,50.0,66.7,69.0,34.5,0,0,0.0,60.4,0,9,0.0,0,0,62.5,1,72,34.1,108,1,2,2,0,9,13,0.1,9.0,0,2,3.6,88.9,80.2,12.4,11.0,0,0,0.0,63.6,0,29,16.7,2,0,102.8,8,101,47.9,126,7,8,9,0,78,67,0.8,9.8
Jordan Swann,55103,CB,JAMES MAD,11,319,0,197,0,10.7,60.0,100.0,12.8,7.7,0,2,20.0,64.0,0,40,16.7,1,1,86.3,6,81,25.4,81,2,5,10,0,82,44,1.1,13.7,0,2,19.9,36.4,98.4,22.8,8.3,0,2,9.1,70.9,1,90,6.3,1,0,80.3,8,186,58.3,189,5,13,22,2,193,94,1.1,24.1
Ian Swenson,55104,LB,UCONN,12,334,0,146,2,-2.5,50.0,69.1,53.0,26.5,0,0,0.0,62.8,0,10,25.0,2,0,64.6,1,56,16.8,81,2,4,2,0,10,12,0.2,10.0,0,6,3.1,84.6,89.4,6.0,5.1,0,0,0.0,65.4,1,24,8.0,2,0,87.5,33,211,63.2,236,8,17,39,0,295,195,1.5,8.9
Dorian Hall,55168,S,FIU,11,179,0,166,0,-1.0,100.0,90.3,25.0,25.0,0,0,0.0,68.3,0,5,100.0,1,0,87.5,1,28,15.6,31,0,0,1,0,5,6,0.2,5.0,0,0,11.3,68.8,100.0,9.6,6.6,0,1,6.3,62.5,1,34,10.0,1,1,67.2,11,110,61.5,110,2,9,16,0,130,81,1.2,11.8
Chris Bacon,55196,S,BOWL GREEN,12,453,0,122,2,3.7,66.7,94.2,38.5,25.7,0,0,0.0,62.3,0,14,14.3,1,0,119.4,2,81,17.9,86,1,4,3,1,16,3,0.2,8.0,0,2,12.4,64.7,98.8,21.3,13.8,0,0,0.0,52.9,0,41,17.4,4,0,133.2,11,245,54.1,248,5,17,17,2,155,30,0.7,14.1
Jaylon Jones,55197,CB,GA STATE,12,260,0,175,0,12.3,25.0,100.0,35.0,8.8,0,0,0.0,48.7,0,5,,0,0,39.6,1,41,15.8,41,0,0,4,0,5,0,0.1,5.0,0,4,15.3,42.9,100.0,11.7,5.0,0,5,17.9,71.5,0,54,25.0,4,3,77.4,12,148,56.9,148,0,8,28,1,186,49,1.3,15.5
Jordan Strachan,55198,ED,S CAROLINA,2,7,0,289,0,,,27.8,,,0,0,,62.0,0,,,0,0,0.0,0,5,71.4,18,0,0,0,0,0,0,0.0,,0,0,,,11.1,,,0,0,,55.3,0,,100.0,1,0,0.0,0,2,28.6,18,1,0,0,0,0,0,0.0,
Zachary Ford,55353,S,TOLEDO,12,370,0,316,0,11.1,37.5,96.6,27.0,10.1,0,1,12.5,69.4,0,8,0.0,0,1,85.4,3,85,23.0,88,2,3,8,1,17,7,0.2,5.7,0,5,6.7,50.0,98.7,18.3,9.1,1,2,8.3,79.4,1,38,10.0,2,2,60.8,12,228,61.6,231,7,13,24,1,118,59,0.5,9.8
Nate Givhan,55355,ED,TOLEDO,9,9,0,316,0,,,7.9,,,0,0,,60.8,0,,100.0,1,0,0.0,0,3,33.3,38,2,0,0,0,0,0,0.0,,0,0,5.0,100.0,7.4,5.0,5.0,0,0,0.0,70.6,0,5,0.0,0,0,87.5,1,6,66.7,81,2,1,1,0,5,0,1.0,5.0
Anthony Montalvo,55417,DI,UCF,12,8,0,323,0,,,4.1,,,0,0,,57.1,0,,50.0,1,0,0.0,0,5,62.5,122,2,1,0,0,0,0,0.0,,0,1,,,1.6,,,0,0,,55.9,0,,50.0,1,0,0.0,0,2,25.0,128,0,0,0,0,0,0,0.0,
Coby Davis,55425,CB,WAKE,2,28,0,339,0,8.5,0.0,87.5,,3.5,0,0,0.0,65.9,1,,,0,0,0.0,0,7,25.0,8,0,0,2,0,0,0,0.0,,0,0,22.0,0.0,100.0,,18.0,0,1,100.0,71.0,0,,0.0,0,0,39.6,0,18,64.3,18,0,1,1,0,0,0,0.0,
Troy Simon,55427,S,TOLEDO,4,46,0,316,0,,,100.0,,,1,1,,80.6,0,,,0,1,0.0,0,8,17.4,8,0,0,0,0,0,0,0.0,,0,0,-4.0,0.0,100.0,,30.0,0,0,0.0,67.4,0,,0.0,0,0,39.6,0,31,67.4,31,0,1,1,0,0,0,0.0,
Mike Allen,55430,ED,W KENTUCKY,13,1,0,346,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,25,0,1,0,0,0,0,,,0,1,5.0,100.0,0.9,1.0,1.0,0,0,0.0,59.7,0,10,20.0,1,0,108.3,1,1,100.0,116,2,3,1,0,10,5,10.0,10.0
Tyler Williams,55432,DI,WAKE,12,2,0,339,0,,,1.3,,,0,0,,60.1,0,,0.0,0,0,0.0,0,1,50.0,76,1,1,0,0,0,0,0.0,,0,1,,,0.0,,,0,1,,76.6,0,,33.3,1,1,0.0,0,0,0.0,158,1,1,0,0,0,0,,
DJ Taylor,55438,LB,BOWL GREEN,12,265,0,122,0,7.3,55.6,69.1,7.0,3.9,0,0,0.0,36.9,1,51,,0,0,95.6,5,38,14.3,55,2,0,9,3,102,90,2.9,20.4,0,4,6.2,84.2,91.1,8.6,7.2,0,1,5.3,56.1,1,34,18.2,4,1,87.1,16,143,54.0,157,4,14,19,0,193,114,1.4,12.1
Chase Monroe,55439,LB,CHARLOTTE,12,183,0,136,0,2.5,100.0,82.2,18.0,18.0,0,0,0.0,51.1,0,7,0.0,0,0,91.7,2,37,20.2,45,1,1,2,0,12,7,0.3,6.0,0,1,7.5,50.0,95.5,40.3,20.2,0,0,0.0,50.2,0,18,25.0,3,0,63.9,3,128,69.9,134,4,8,6,0,29,19,0.2,9.7
Malik Hausman,55567,CB,HAWAII,13,385,0,180,0,14.8,45.2,96.3,10.0,4.5,1,3,9.7,47.1,2,42,10.0,1,2,74.8,14,154,40.0,160,0,9,31,3,221,49,1.6,15.8,0,1,8.2,65.5,98.9,9.1,6.0,0,2,6.9,72.7,0,34,4.8,1,2,78.8,19,179,46.5,181,7,19,29,0,154,74,0.9,8.1
Tony Wallace,55568,CB,UTSA,1,1,0,331,0,26.0,100.0,100.0,1.0,1.0,0,0,0.0,48.4,0,48,0.0,0,0,118.8,1,1,100.0,1,0,1,1,0,48,22,48.0,48.0,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Azizi Hearn,55569,CB,UCLA,12,364,0,324,2,12.6,40.0,87.3,10.3,4.1,0,5,50.0,57.6,0,38,0.0,0,4,102.9,4,48,13.2,55,0,1,10,1,82,34,2.0,20.5,0,4,7.0,81.8,96.9,11.7,9.5,0,1,4.5,66.0,0,37,4.2,1,1,100.2,18,222,61.0,229,5,19,22,0,177,82,0.8,9.8
Timarcus Davis,55574,CB,ARIZONA ST,7,127,0,110,0,11.1,60.0,97.1,5.5,3.3,0,0,0.0,64.6,2,24,16.7,1,0,41.3,6,34,26.8,35,0,5,10,0,69,17,2.1,11.5,0,2,14.9,64.7,100.0,7.4,4.8,0,2,11.8,44.1,0,58,16.7,2,1,127.7,11,82,64.6,82,1,8,17,1,225,50,2.8,20.5
Wylan Free,55596,S,GA SOUTHRN,12,356,0,174,0,12.9,40.0,95.1,27.5,11.0,0,0,0.0,49.9,0,33,33.3,1,0,100.8,4,116,32.6,122,0,2,10,1,77,33,0.7,19.3,0,2,9.4,73.7,96.4,12.9,9.5,0,3,15.8,77.6,0,36,0.0,0,3,121.8,14,190,53.4,197,6,17,19,1,186,76,1.0,13.3
Wesley McCormick,55609,CB,W VIRGINIA,10,171,0,343,0,3.0,100.0,100.0,13.0,13.0,0,0,0.0,60.1,0,11,100.0,1,0,112.5,1,15,8.8,15,0,0,1,0,11,8,0.8,11.0,0,0,13.0,65.4,100.0,6.1,4.0,1,3,11.5,53.9,0,64,14.3,2,2,124.0,17,109,63.7,109,4,12,26,2,261,105,2.5,15.4
Cedrick Dort Jr.,55614,CB,WISCONSIN,11,238,0,349,0,16.0,0.0,100.0,,40.0,1,2,200.0,77.1,0,,,0,2,39.6,0,43,18.1,43,0,0,1,0,0,0,0.0,,0,1,6.4,78.6,100.0,14.9,11.7,0,0,0.0,63.7,0,19,0.0,0,0,119.0,11,167,70.2,167,2,6,14,1,96,47,0.6,8.7
Anthony Johnson,55628,CB,VIRGINIA,10,381,0,335,0,12.2,50.0,98.6,10.8,5.4,0,8,33.3,78.1,1,17,0.0,0,6,44.6,12,139,36.5,141,2,7,24,0,105,54,0.8,8.8,0,4,15.5,60.0,99.5,10.9,6.5,0,4,13.3,75.3,1,25,3.8,1,3,67.2,18,205,53.8,206,4,21,30,0,209,64,1.1,11.6
