player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Kitione Tau,86077,DI,BOWL GREEN,9,2,0,122,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,,0,0,,,2.6,,,0,0,,86.5,0,,66.7,2,0,0.0,0,1,50.0,38,1,1,0,0,0,0,0.0,
Kalib Perry,86267,LB,TENNESSEE,5,34,0,307,0,,,55.6,,,0,0,,62.7,0,,,0,0,0.0,0,5,14.7,9,0,0,0,0,0,0,0.0,,0,0,1.5,100.0,88.0,11.0,11.0,0,0,0.0,70.8,0,8,0.0,0,0,100.0,2,22,64.7,25,1,3,2,0,16,13,0.7,8.0
Camden O'Gara,86506,LB,ARMY,7,68,0,114,0,,,33.3,,,0,0,,72.3,0,,0.0,0,0,0.0,0,6,8.8,18,1,1,0,0,0,0,0.0,,0,2,8.8,100.0,92.5,11.5,11.5,1,0,0.0,57.4,0,23,12.5,1,0,116.7,4,49,72.1,53,2,5,4,0,48,13,1.0,12.0
Rodney Robinson,86527,S,BOISE ST,12,279,0,120,0,5.3,50.0,100.0,17.5,8.8,0,0,0.0,60.1,0,6,0.0,0,0,56.3,2,38,13.6,38,1,2,4,0,11,3,0.3,5.5,0,4,13.1,66.7,100.0,20.6,13.7,1,2,13.3,63.7,3,31,17.6,3,2,53.3,10,210,75.3,210,2,10,15,0,127,46,0.6,12.7
Jalil Tucker,86578,CB,OREGON,1,3,0,264,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,
Charlie Ely,86730,LB,LOUISVILLE,1,1,0,210,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,USC,12,390,0,326,0,14.1,33.3,100.0,22.7,7.6,0,0,0.0,57.3,0,30,0.0,0,0,59.5,3,80,20.5,80,1,3,9,0,64,14,0.9,21.3,0,4,9.2,71.4,99.5,11.7,8.3,0,1,4.8,63.8,1,58,6.3,1,0,73.3,15,187,47.9,188,5,11,21,0,159,73,0.9,10.6
Carlton Johnson,86963,CB,FRESNO ST,5,94,0,169,0,1.0,0.0,96.6,,13.5,0,1,50.0,76.1,0,,0.0,0,1,39.6,0,28,29.8,29,2,1,2,0,0,0,0.0,,0,1,5.2,66.7,96.4,8.8,5.9,1,1,11.1,66.8,1,14,16.7,1,1,34.7,6,53,56.4,55,2,4,9,0,36,7,0.7,6.0
Terrell Jennings,87040,CB,ILLINOIS,4,78,0,187,0,6.7,50.0,97.1,12.4,6.2,0,3,30.0,68.9,0,13,20.0,1,3,57.9,5,66,84.6,68,1,4,10,0,34,4,0.5,6.8,0,0,5.0,100.0,100.0,9.0,9.0,0,0,0.0,57.4,0,14,100.0,1,0,118.8,1,9,11.5,9,0,0,1,0,14,9,1.6,14.0
David Perales,87160,ED,FRESNO ST,12,26,0,169,0,,,6.5,,,1,0,,61.6,0,,100.0,3,0,0.0,0,8,30.8,124,1,0,0,0,0,0,0.0,,0,0,-1.5,100.0,9.3,4.3,4.3,0,0,0.0,74.3,1,12,0.0,0,0,53.1,4,18,69.2,194,11,2,4,0,25,31,1.5,6.3
