player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,12,341,0,289,0,3.8,77.8,96.0,16.0,12.4,0,0,0.0,73.4,2,28,20.0,2,0,116.2,7,119,34.9,124,5,8,9,2,107,88,1.0,15.3,0,2,17.3,53.8,98.9,25.7,13.8,0,2,15.4,73.0,3,60,25.0,5,2,91.5,7,186,54.5,188,4,13,13,2,139,40,0.8,19.9
Mark Williams,21922,CB,LA MONROE,7,196,0,209,0,16.0,100.0,100.0,22.0,22.0,0,0,0.0,57.7,0,9,33.3,1,0,143.8,1,23,11.7,23,1,2,1,1,9,0,0.4,9.0,0,1,9.4,78.6,100.0,9.5,7.4,0,1,7.1,68.0,1,55,13.3,2,1,74.4,11,105,53.6,105,5,12,14,0,126,47,1.2,11.5
Devin Taylor,22317,CB,BOWL GREEN,12,357,0,122,1,14.8,50.0,98.0,11.0,5.5,0,4,50.0,69.7,0,30,0.0,0,2,79.7,4,49,13.7,50,0,5,8,0,69,15,1.6,17.3,0,1,13.1,48.0,99.0,15.9,7.6,0,5,20.0,65.5,2,83,27.3,3,4,52.3,12,202,56.6,204,4,7,25,1,181,106,0.9,15.1
Cortez Davis,22974,CB,HAWAII,13,575,0,180,0,16.6,34.6,96.8,18.9,6.5,0,5,19.2,70.7,0,44,22.2,2,4,66.2,9,180,31.3,186,2,7,26,1,140,49,0.8,15.6,0,5,14.2,54.3,97.8,10.4,5.6,1,11,23.9,55.9,0,38,10.5,2,10,77.0,25,270,47.0,276,3,12,46,1,247,127,1.0,9.9
Dru Prox,23093,LB,UTSA,8,67,0,331,0,,,77.8,,,0,0,,63.7,0,,0.0,0,0,0.0,0,7,10.4,9,0,1,0,0,0,0,0.0,,0,0,9.7,50.0,84.6,14.3,7.2,0,1,16.7,52.6,0,40,0.0,0,1,121.5,3,44,65.7,52,1,1,6,1,55,21,1.3,18.3
Reggie Stubblefield,23441,S,KANSAS ST,11,238,0,199,0,9.6,28.6,58.1,17.0,4.9,0,1,14.3,62.4,0,21,0.0,0,1,42.6,2,36,15.1,62,3,2,7,0,26,12,0.8,13.0,0,1,1.0,91.3,88.2,6.4,5.9,0,0,0.0,51.1,0,18,33.3,5,0,108.0,21,142,59.7,161,5,9,23,1,148,133,1.1,7.0
Colby Burton,23898,CB,HAWAII,6,58,0,180,0,1.0,100.0,93.3,26.0,26.0,0,0,0.0,68.1,0,7,0.0,0,0,95.8,1,28,48.3,30,0,1,1,0,7,6,0.3,7.0,0,0,8.6,100.0,100.0,3.6,3.6,0,0,0.0,54.6,0,22,0.0,0,0,112.5,5,19,32.8,19,1,5,5,0,55,12,3.1,11.0
Darion Dunn,23963,CB,TEXAS,11,171,0,311,0,9.0,0.0,95.0,,17.0,0,0,0.0,67.1,0,,,0,0,39.6,0,19,11.1,20,0,0,1,0,0,0,0.0,,0,1,14.1,57.9,99.2,10.5,6.1,0,2,10.5,72.5,0,52,15.4,2,2,100.3,11,122,71.3,123,1,10,19,1,148,30,1.3,13.5
Darren Evans,24171,CB,LSU,11,220,0,211,1,9.5,70.6,100.0,9.0,6.4,0,3,17.6,56.6,0,24,11.1,1,2,131.7,12,111,50.5,111,0,7,17,2,129,60,1.2,10.8,0,0,11.0,66.7,100.0,11.1,7.4,0,0,0.0,64.4,0,24,25.0,2,0,113.9,8,91,41.4,91,2,6,12,1,82,29,0.9,10.3
Alvinoski LaFleur,24504,S,E MICHIGAN,10,263,0,160,0,11.9,55.6,95.7,17.0,9.4,0,0,0.0,49.8,0,44,25.0,1,0,85.0,5,88,33.5,92,2,3,9,0,79,33,0.9,15.8,0,0,10.8,70.0,98.5,17.6,12.3,0,1,10.0,55.7,0,19,30.8,4,0,84.6,7,130,49.4,132,3,9,10,0,58,30,0.5,8.3
Luc Bequette,25776,DI,CAL,11,8,0,130,0,,,6.7,,,0,0,,55.1,0,,,0,0,0.0,0,7,87.5,105,2,0,0,0,0,0,0.0,,0,1,,,0.6,,,0,0,,59.0,0,,28.6,2,0,0.0,0,1,12.5,164,1,4,0,0,0,0,0.0,
Jeremiah Moon,26453,LB,FLORIDA,10,130,0,163,1,,,43.8,,,0,0,,64.1,0,,20.0,1,0,0.0,0,28,21.5,64,4,3,0,0,0,0,0.0,,0,2,6.5,66.7,65.4,20.0,13.3,1,0,0.0,54.9,0,32,20.0,2,0,92.4,4,83,63.8,127,3,6,6,0,50,37,0.6,12.5
Demario McCall,28012,CB,OHIO STATE,5,45,0,260,0,20.0,33.3,100.0,9.0,3.0,0,1,33.3,60.4,0,10,0.0,0,1,43.8,1,10,22.2,10,0,1,3,0,10,0,1.1,10.0,0,0,6.7,66.7,100.0,16.0,10.7,0,0,0.0,70.8,0,3,0.0,0,0,70.1,2,32,71.1,32,2,2,3,0,4,8,0.1,2.0
Brenden Schooler,28253,S,TEXAS,11,184,0,311,0,11.0,33.3,100.0,16.0,5.3,1,1,33.3,58.9,0,19,0.0,0,1,56.3,1,18,9.8,18,1,1,3,0,19,7,1.2,19.0,0,4,10.8,61.5,98.4,14.9,9.2,0,0,0.0,70.3,0,20,11.8,2,0,77.1,8,120,65.2,122,2,11,13,0,74,23,0.6,9.3
Richard Moore,28853,LB,SMU,11,165,0,287,0,-1.0,100.0,52.9,32.0,32.0,0,0,0.0,71.4,0,44,0.0,0,0,118.8,1,36,21.8,68,3,3,1,0,44,45,1.4,44.0,0,1,3.6,71.4,86.2,20.4,14.6,0,0,0.0,54.4,0,46,0.0,0,0,153.3,5,106,64.2,123,4,4,7,1,93,84,0.9,18.6
Jack Jones,29050,CB,ARIZONA ST,11,351,0,110,1,10.8,64.0,99.3,8.4,5.4,1,4,16.0,72.8,2,44,0.0,0,4,87.6,16,146,41.6,147,3,13,25,2,233,67,1.7,14.6,0,1,13.6,68.0,100.0,10.7,7.3,0,3,12.0,73.6,1,20,6.7,1,1,84.9,17,192,54.7,192,3,13,25,1,177,41,1.0,10.4
Marshaun Cameron,30624,CB,COLO STATE,12,305,0,144,0,16.9,54.2,100.0,8.5,4.6,0,3,12.5,36.4,1,42,0.0,0,1,107.5,13,125,41.0,125,1,6,24,6,219,47,2.0,16.8,0,4,17.8,55.0,100.0,12.5,6.9,0,4,20.0,58.3,0,93,0.0,0,2,138.3,11,145,47.5,145,4,11,20,4,244,111,1.8,22.2
Brian Cavicante,33444,LB,MARSHALL,8,63,0,214,1,,,81.3,,,0,0,,49.7,0,,0.0,0,0,0.0,0,13,20.6,16,0,0,0,0,0,0,0.0,,0,1,7.3,66.7,87.0,19.0,12.7,0,0,0.0,46.0,0,23,0.0,0,0,102.1,2,40,63.5,46,1,1,3,0,32,22,0.8,16.0
Brock Nichols,33753,S,USF,8,79,0,327,0,17.3,33.3,100.0,33.0,11.0,0,0,0.0,55.5,0,5,0.0,0,0,42.4,1,34,43.0,34,1,1,3,0,5,0,0.2,5.0,0,0,10.5,50.0,97.4,37.0,18.5,0,0,0.0,86.1,1,4,0.0,0,0,16.7,1,38,48.1,39,2,3,2,0,4,3,0.1,4.0
Meiko Dotson,33902,CB,FLORIDA ST,6,66,0,167,0,5.3,83.3,95.2,4.0,3.3,0,0,0.0,74.3,0,23,0.0,0,0,104.2,5,20,30.3,21,1,4,6,0,54,27,2.7,10.8,0,0,22.8,25.0,100.0,30.0,7.5,0,0,0.0,52.2,0,59,,0,0,118.8,1,31,47.0,31,0,0,4,1,59,11,2.0,59.0
Denzel Feaster,34561,LB,UTSA,10,111,0,331,0,,,92.3,,,0,0,,63.8,0,,,0,0,0.0,0,12,10.8,13,0,0,0,0,0,0,0.0,,0,0,8.0,75.0,92.9,25.7,19.3,0,0,0.0,44.4,0,16,28.6,2,0,93.8,3,78,70.3,84,1,5,4,0,28,9,0.4,9.3
Ferrod Gardner,34595,LB,LA LAFAYET,10,229,0,207,0,4.0,85.7,72.5,8.8,7.6,0,0,0.0,54.2,0,14,16.7,1,0,97.0,6,58,25.3,80,4,5,7,0,51,34,1.0,8.5,0,1,4.4,70.0,84.0,8.7,6.1,0,3,15.0,37.1,1,30,56.3,9,2,74.4,14,126,55.0,150,2,6,20,0,167,102,1.4,11.9
