player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
John Petrishen,35069,LB,PITTSBURGH,12,243,0,268,2,5.2,80.0,95.7,10.3,8.2,0,0,0.0,57.8,0,71,33.3,2,0,118.8,4,45,18.5,47,1,2,5,0,100,98,2.4,25.0,0,6,1.1,87.5,77.7,10.6,9.3,0,0,0.0,69.1,3,20,21.4,3,0,54.7,14,160,65.8,206,6,5,16,0,106,131,0.7,7.6
Cristian Williams,36151,S,TULSA,8,246,0,320,2,8.0,0.0,97.3,,35.5,0,1,50.0,62.4,0,,40.0,2,1,39.6,0,73,29.7,75,0,1,2,0,0,0,0.0,,0,0,12.3,50.0,95.8,21.8,10.9,0,0,0.0,47.8,0,34,28.6,2,0,78.6,4,91,37.0,95,0,5,8,0,67,44,0.8,16.8
Scott Patchan,36449,ED,COLO STATE,12,27,0,144,1,,,3.3,,,0,0,,67.5,0,,0.0,0,0,0.0,0,5,18.5,153,0,0,0,0,0,0,0.0,,0,0,,,11.0,,,0,0,,63.7,0,,25.0,1,0,0.0,0,20,74.1,181,9,3,0,0,0,0,0.0,
Thad Mangum,36819,DI,USF,12,2,0,327,0,,,2.1,,,0,0,,60.3,0,,,0,0,0.0,0,2,100.0,96,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.2,0,,60.0,3,0,0.0,0,0,0.0,124,0,1,0,0,0,0,,
Cameron Goode,38410,ED,CAL,11,47,0,130,1,,,7.7,,,0,1,,71.5,0,,50.0,2,0,0.0,0,11,23.4,143,2,1,0,0,0,0,0.0,,0,6,4.0,100.0,11.7,26.0,26.0,0,0,0.0,69.4,0,6,16.7,2,0,91.7,1,27,57.4,230,6,4,1,0,6,2,0.2,6.0
Josh Drayden,38498,CB,CAL,12,474,0,130,2,14.3,58.8,98.2,15.1,8.9,0,1,5.9,57.0,0,26,22.2,2,1,93.5,10,166,35.0,169,0,5,17,1,93,20,0.6,9.3,0,4,9.4,67.9,95.1,12.7,8.6,0,1,3.6,55.9,0,20,23.1,6,1,101.2,19,254,53.6,267,2,16,28,1,206,71,0.9,10.8
De'Vante Cross,39851,CB,VIRGINIA,8,275,0,335,0,13.0,22.2,98.6,31.5,7.0,1,4,44.4,69.6,0,20,50.0,1,2,43.3,2,68,24.7,69,0,1,9,0,35,25,0.6,17.5,0,0,11.6,75.0,100.0,11.0,8.3,0,2,12.5,46.0,1,92,23.1,3,2,111.5,12,139,50.5,139,1,10,16,1,232,103,1.8,19.3
Jordan Carmouche,39951,LB,HOUSTON,7,64,0,182,0,9.0,0.0,100.0,,18.0,0,1,100.0,69.8,0,,50.0,1,1,39.6,0,20,31.3,20,1,1,1,0,0,0,0.0,,0,0,3.9,71.4,100.0,6.8,4.9,0,0,0.0,45.7,0,10,0.0,0,0,82.4,5,37,57.8,37,0,1,7,0,35,13,1.0,7.0
Derrion Rakestraw,39968,S,TULANE,11,159,0,319,0,5.3,100.0,98.5,8.9,8.9,0,0,0.0,58.4,0,12,10.0,1,0,138.4,7,64,40.3,65,3,9,7,3,54,20,0.9,7.7,0,1,6.0,66.7,97.5,39.0,26.0,0,0,0.0,65.9,1,14,16.7,2,0,36.1,2,78,49.1,80,2,9,3,0,13,15,0.2,6.5
Brandon Martin,40066,LB,BALL ST,5,97,0,117,0,0.5,50.0,82.1,21.0,10.5,0,0,0.0,68.1,0,4,0.0,0,0,56.3,1,23,23.7,28,1,3,2,0,4,3,0.2,4.0,0,0,6.9,77.8,96.8,8.4,6.6,0,0,0.0,60.8,1,9,22.2,2,0,48.4,7,60,61.9,62,1,7,9,0,46,27,0.8,6.6
Phillip Howard,40350,CB,MINNESOTA,12,106,0,225,0,12.0,66.7,100.0,5.0,3.3,0,0,0.0,64.5,0,23,0.0,0,0,99.3,2,10,9.4,10,1,2,3,0,30,6,3.0,15.0,0,1,13.1,28.6,100.0,33.0,9.4,1,0,0.0,63.5,1,10,14.3,1,0,0.0,2,72,67.9,72,2,5,7,0,18,3,0.3,9.0
Kumehnnu Gwilly,40495,LB,C MICHIGAN,10,45,0,134,0,9.0,100.0,71.8,27.0,27.0,0,0,0.0,54.3,0,31,0.0,0,0,118.8,1,28,62.2,39,0,1,1,0,31,22,1.1,31.0,0,0,9.0,0.0,61.9,,5.5,0,0,0.0,58.9,0,,0.0,0,0,39.6,0,13,28.9,21,1,1,2,0,0,0,0.0,
Jahaziel Lee,40537,DI,LA MONROE,12,3,0,209,0,2.0,100.0,4.2,1.0,1.0,0,0,0.0,71.1,0,3,0.0,0,0,79.2,1,1,33.3,24,1,1,1,0,3,1,3.0,3.0,0,1,,,1.9,,,0,0,,60.1,0,,50.0,1,0,0.0,0,2,66.7,106,0,0,0,0,0,0,0.0,
Prather Hudson,40617,S,ILLINOIS,8,56,0,187,0,10.0,50.0,90.2,34.0,17.0,0,0,0.0,72.8,0,3,0.0,0,0,56.3,1,37,66.1,41,1,2,2,0,3,0,0.1,3.0,0,0,13.3,100.0,100.0,4.3,4.3,0,0,0.0,43.7,0,36,100.0,1,0,118.8,3,14,25.0,14,0,0,3,0,66,26,5.1,22.0
Justin Rice,40640,LB,UTAH ST,12,351,0,329,2,2.6,71.4,75.2,20.4,14.6,0,1,14.3,90.7,2,8,10.0,1,1,34.5,5,115,32.8,153,4,7,7,0,11,21,0.1,2.2,0,6,5.3,88.0,82.5,6.6,5.8,0,0,0.0,40.9,1,69,10.0,2,0,115.4,22,151,43.0,183,5,12,25,1,317,189,2.2,14.4
Aaron Hansford,40694,LB,TEXAS A&M,12,334,0,312,1,-2.3,88.9,75.9,12.4,11.0,0,0,0.0,73.4,0,21,15.4,2,0,83.3,8,104,31.1,137,7,10,9,0,36,56,0.4,4.5,0,0,2.8,70.0,83.3,11.6,8.1,0,2,10.0,52.1,0,34,20.0,2,2,88.5,14,165,49.4,198,8,8,20,0,135,97,0.8,9.6
Malik Staples,40902,LB,W KENTUCKY,5,50,0,346,0,14.0,100.0,66.7,11.0,11.0,0,0,0.0,50.1,0,11,0.0,0,0,152.1,1,12,24.0,18,0,1,1,1,11,0,1.0,11.0,0,0,-2.0,66.7,96.6,13.5,9.0,0,0,0.0,66.3,0,17,0.0,0,0,91.0,2,28,56.0,29,0,1,3,0,24,29,0.9,12.0
Deonte Perry,41092,S,FRESNO ST,6,83,0,169,1,35.0,0.0,93.3,,28.0,0,1,100.0,71.9,0,,0.0,0,1,39.6,0,28,33.7,30,0,1,1,0,0,0,0.0,,0,0,7.5,50.0,98.0,43.0,21.5,0,0,0.0,75.3,0,2,0.0,0,0,56.3,1,48,57.8,49,1,2,2,0,2,2,0.0,2.0
Eric Sutton,41489,CB,TEXAS ST,10,123,0,314,0,10.6,80.0,100.0,2.8,2.2,0,0,0.0,34.9,0,16,0.0,0,0,142.1,4,13,10.6,13,0,2,5,2,43,8,3.9,10.8,0,0,4.0,90.0,98.9,9.7,8.7,0,0,0.0,55.2,0,23,20.0,1,0,105.8,9,88,71.5,89,1,4,10,0,94,57,1.1,10.4
Ty Shelby,41752,ED,LA MONROE,12,42,0,209,0,,,5.5,,,0,0,,61.2,0,,0.0,0,0,0.0,0,3,7.1,55,2,1,0,0,0,0,0.0,,0,2,3.5,50.0,14.1,26.0,13.0,0,0,0.0,63.5,0,19,0.0,0,0,83.3,1,27,64.3,192,4,2,2,0,19,8,0.7,19.0
Sam Hammond,41836,ED,NEVADA,12,10,0,239,0,,,7.0,,,0,0,,66.3,0,,0.0,0,0,0.0,0,3,30.0,43,2,2,0,0,0,0,0.0,,0,1,,,3.0,,,0,0,,62.1,0,,33.3,1,0,0.0,0,7,70.0,232,3,1,0,0,0,0,0.0,
Ben Davis,41960,ED,TEXAS,10,44,0,311,0,-4.0,100.0,28.6,2.0,2.0,0,0,0.0,70.9,0,-1,0.0,0,0,79.2,1,2,4.5,7,1,1,1,0,-1,3,-0.5,-1.0,0,1,2.2,100.0,53.2,6.4,6.4,0,0,0.0,55.6,0,14,0.0,0,0,102.5,5,33,75.0,62,1,3,5,0,43,32,1.3,8.6
Dru Mathis,42027,LB,OREGON,1,3,0,264,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,9.0,100.0,100.0,3.0,3.0,0,0,0.0,49.5,0,12,,0,0,116.7,1,3,100.0,3,0,0,1,0,12,3,4.0,12.0
Freddie Johnson,42129,CB,TEMPLE,10,97,0,306,0,14.0,50.0,100.0,14.5,7.3,0,0,0.0,66.3,0,7,0.0,0,0,58.3,2,32,33.0,32,1,2,4,0,14,14,0.5,7.0,0,0,7.7,50.0,98.0,16.0,8.0,0,0,0.0,55.5,1,16,50.0,1,0,23.6,3,49,50.5,50,0,1,6,0,28,33,0.6,9.3
Avien Peah,42158,ED,UMASS,12,39,0,216,0,,,3.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.6,32,0,0,0,0,0,0,,,0,1,4.7,100.0,21.5,8.3,8.3,0,0,0.0,61.0,0,24,0.0,0,0,118.8,3,29,74.4,135,2,4,3,0,40,26,1.6,13.3
Nick Grant,42242,S,VIRGINIA,11,286,0,335,0,11.7,80.0,97.4,8.8,7.0,1,1,10.0,53.6,0,37,40.0,2,1,153.3,8,76,26.6,78,0,3,10,2,113,20,1.6,14.1,0,4,11.1,52.9,99.3,15.6,8.2,1,6,35.3,75.5,0,26,17.4,4,4,93.5,9,145,50.7,146,1,15,17,1,113,58,0.8,12.6
Alonzo McCoy,42383,CB,C MICHIGAN,12,382,0,134,0,9.6,52.2,94.8,13.3,6.9,0,6,26.1,76.7,0,36,18.2,2,6,98.8,12,165,43.2,174,5,9,23,2,134,55,0.8,11.2,0,2,4.9,76.7,95.8,6.8,5.2,0,2,6.7,79.8,0,54,15.0,3,2,94.6,23,160,41.9,167,7,15,30,0,206,153,1.3,9.0
Chris Moore,42400,S,GA STATE,11,353,0,175,0,9.0,66.7,100.0,12.3,8.2,0,1,16.7,61.6,0,30,0.0,0,1,141.0,4,53,15.0,53,1,3,6,1,63,17,1.3,15.8,0,5,4.9,68.4,99.1,16.2,11.1,0,0,0.0,77.2,1,15,4.8,1,0,53.2,13,223,63.2,225,4,15,19,0,73,44,0.3,5.6
Raleigh Texada,42440,CB,BAYLOR,12,259,0,118,0,10.8,33.3,100.0,21.5,7.2,0,1,16.7,50.7,0,21,0.0,0,1,52.8,2,45,17.4,45,1,1,6,0,33,18,0.8,16.5,0,0,19.0,64.3,98.9,9.6,6.2,0,3,10.7,56.8,1,52,0.0,0,1,110.0,18,177,68.3,179,2,16,28,2,305,56,1.8,16.9
Greg Eisworth II,42444,S,IOWA STATE,12,322,0,193,1,15.5,50.0,95.2,12.0,6.0,0,0,0.0,44.2,0,28,0.0,0,0,85.4,3,40,12.4,42,0,0,6,0,60,9,1.7,20.0,0,3,13.1,45.0,99.4,18.0,8.1,0,3,15.0,68.4,1,42,20.0,3,3,66.0,9,169,52.5,170,1,9,20,1,147,15,0.9,16.3
JoJo Domann,42446,LB,NEBRASKA,10,340,0,238,0,8.6,40.0,81.0,31.0,12.4,0,2,40.0,68.7,1,7,0.0,0,1,8.3,2,64,18.8,79,0,3,5,0,10,0,0.2,5.0,0,7,2.2,86.4,95.9,9.7,8.4,1,1,4.5,89.3,1,11,3.8,1,1,62.5,19,189,55.6,197,11,18,22,0,78,51,0.4,4.1
D.J. Ford,42473,S,E CAROLINA,10,181,0,156,1,4.8,100.0,78.4,6.8,6.8,0,0,0.0,62.8,0,13,0.0,0,0,132.3,4,29,16.0,37,1,3,4,1,25,6,0.9,6.3,0,2,8.8,66.7,94.2,13.8,9.2,1,3,25.0,66.5,0,34,0.0,0,3,86.8,8,114,63.0,121,3,10,12,0,84,41,0.8,10.5
Monte McGary,42477,S,UTAH ST,10,135,0,329,0,7.8,55.6,93.8,7.8,4.3,0,3,33.3,66.5,0,17,0.0,0,3,99.8,5,45,33.3,48,1,3,9,1,31,6,0.8,6.2,0,0,10.5,75.0,93.8,10.0,7.5,0,0,0.0,61.4,0,43,12.5,1,0,102.6,6,61,45.2,65,2,7,8,0,73,44,1.2,12.2
Tomon Fox,42486,ED,N CAROLINA,12,75,0,245,0,11.0,50.0,21.9,13.0,6.5,0,0,0.0,56.3,0,12,,0,0,68.8,1,16,21.3,73,2,0,2,0,12,6,0.9,12.0,0,1,13.0,66.7,22.6,20.0,13.3,0,0,0.0,62.7,0,44,0.0,0,0,109.7,2,44,58.7,195,6,3,3,0,49,9,1.2,24.5
Jay Lenard,42492,S,S JOSE ST,12,455,0,285,0,16.0,0.0,94.3,,15.0,0,1,33.3,57.4,0,,100.0,1,1,39.6,0,50,11.0,53,0,0,3,0,0,0,0.0,,0,4,14.2,78.9,95.3,18.4,14.5,0,0,0.0,58.5,1,43,20.0,4,0,129.6,15,285,62.6,299,4,12,19,2,227,47,0.8,15.1
Devin Harper,42494,LB,OKLA STATE,12,358,0,262,2,2.6,80.0,68.5,26.8,21.4,1,1,20.0,61.3,0,13,28.6,2,1,132.9,4,113,31.6,165,5,3,5,1,32,35,0.3,8.0,0,5,1.7,82.6,92.7,9.0,7.4,0,1,4.3,61.8,0,27,17.4,4,1,99.8,19,179,50.0,193,6,14,23,0,183,163,1.1,9.6
Cedric Boswell,42504,CB,MIAMI OH,12,375,0,221,0,16.9,40.0,97.3,11.0,4.4,0,4,26.7,46.4,0,24,0.0,0,3,79.3,6,72,19.2,74,1,5,15,1,78,8,1.2,13.0,0,1,9.6,78.2,99.2,5.2,4.0,0,3,5.5,36.4,1,38,11.4,4,3,109.2,43,234,62.4,236,5,30,55,2,501,115,2.3,11.7
Keir Thomas,42509,ED,FLORIDA ST,12,12,0,167,0,,,3.8,,,0,0,,54.6,0,,50.0,2,0,0.0,0,3,25.0,79,2,2,0,0,0,0,0.0,,0,1,,,1.4,,,1,1,,78.1,0,,25.0,1,1,0.0,0,3,25.0,207,8,2,0,0,0,0,0.0,
Tyrez Lindsey,42510,S,MEMPHIS,10,214,0,218,0,7.1,70.0,97.2,9.4,6.6,0,0,0.0,64.2,0,19,0.0,0,0,128.8,7,69,32.2,71,2,8,10,2,69,37,1.0,9.9,0,2,3.1,71.4,99.0,20.0,14.3,0,0,0.0,64.1,1,11,20.0,2,0,42.9,5,104,48.6,105,1,6,7,0,35,33,0.4,7.0
Bricen Garner,42520,S,W MICHIGAN,3,41,0,347,0,,,100.0,,,0,0,,66.7,0,,0.0,0,0,0.0,0,12,29.3,12,0,1,0,0,0,0,0.0,,0,0,6.5,50.0,100.0,16.0,8.0,0,0,0.0,90.7,1,6,0.0,0,0,16.7,1,16,39.0,16,0,2,2,0,6,6,0.4,6.0
James Skalski,42552,LB,CLEMSON,12,328,0,140,1,4.0,80.0,50.6,9.3,7.4,0,1,20.0,68.7,0,39,20.0,1,1,113.3,4,40,12.2,79,3,3,5,0,56,42,1.5,14.0,0,1,3.9,73.9,80.9,11.4,8.4,0,1,4.3,56.8,0,25,20.0,5,0,91.0,17,203,61.9,251,13,19,23,0,151,82,0.8,8.9
Nazeeh Johnson,42553,S,MARSHALL,9,349,0,214,0,5.8,86.7,96.9,6.3,5.5,0,0,0.0,68.4,0,24,6.7,1,0,117.2,13,94,26.9,97,3,14,15,1,102,47,1.2,7.8,0,3,12.0,45.5,98.8,31.4,14.3,0,1,9.1,75.6,1,32,23.1,3,1,27.8,5,164,47.0,166,2,7,11,0,68,44,0.4,13.6
Jordan Fox,42554,ED,STANFORD,12,78,0,300,0,,,10.4,,,0,0,,63.7,0,,0.0,0,0,0.0,0,8,10.3,77,1,1,0,0,0,0,0.0,,0,2,5.0,88.9,59.6,7.1,6.3,0,0,0.0,59.1,0,19,0.0,0,0,100.0,8,62,79.5,104,2,4,9,0,72,32,1.3,9.0
Benjamin Alexander,42567,S,LIBERTY,8,25,0,206,0,8.0,0.0,100.0,,8.0,0,0,0.0,65.7,0,,0.0,0,0,39.6,0,8,32.0,8,0,1,1,0,0,0,0.0,,0,0,8.5,100.0,100.0,6.0,6.0,0,0,0.0,56.2,0,51,0.0,0,0,118.8,2,12,48.0,12,1,4,2,0,55,38,4.6,27.5
Ja'Quain Blakely,42579,ED,TENNESSEE,12,1,0,307,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,66,0,0,0,0,0,0,,,0,0,,,0.6,,,0,0,,61.2,0,,25.0,1,0,0.0,0,1,100.0,181,4,3,0,0,0,0,0.0,
Aaron Ramseur,42585,LB,E CAROLINA,9,63,0,156,0,-6.0,100.0,66.7,5.0,5.0,0,0,0.0,60.4,0,2,50.0,1,0,79.2,1,6,9.5,9,1,1,1,0,2,8,0.4,2.0,0,0,5.4,100.0,77.4,5.1,5.1,0,0,0.0,48.2,0,44,12.5,1,0,158.3,8,41,65.1,53,5,7,8,1,105,62,2.6,13.1
Andrzej Hughes-Murray,42597,ED,OREGON ST,12,58,0,265,0,3.0,100.0,17.4,10.0,10.0,0,0,0.0,60.0,0,13,0.0,0,0,104.2,2,21,36.2,121,0,3,2,0,18,12,0.9,9.0,0,1,1.5,62.5,17.6,6.4,4.0,0,0,0.0,57.7,0,14,14.3,1,0,113.0,5,32,55.2,182,5,5,8,1,37,31,1.2,7.4
